Item Slot,Item Type,Name,Required Level,Required Strength,Required Dexerity,Required Intelligence,Innate Stat,Enhancement Bonus,Line 1,Line 2,Line 3,Line 4,Line 5,Line 6,Discord Pretty Print,Copy/Paste Friendly Pretty Print
Weapon,Mace,Steelfeather,25,39,,,Hits Ignore 30% of Enemy Armor,3%,Increased Local Attack Speed (80 to 140),(400 to 700) To Accuracy Rating,(4 to 7)% Local Base Critical Hit Chance,(-40% to -20)% reduced mana cost of abilities,,,"***Steelfeather*** (Mace - Req. Level: ***25***; Req. Str ***39***;)
- Innate: Hits Ignore 30% of Enemy Armor
  - Increased Local Attack Speed (80 to 140)
  - (400 to 700) To Accuracy Rating
  - (4 to 7)% Local Base Critical Hit Chance
  - (-40% to -20)% reduced mana cost of abilities","***Steelfeather*** (Mace - Req. Level: ***25***; Req. Str ***39***;)
- Innate: Hits Ignore 30% of Enemy Armor
  - Increased Local Attack Speed (80 to 140)
  - (400 to 700) To Accuracy Rating
  - (4 to 7)% Local Base Critical Hit Chance
  - (-40% to -20)% reduced mana cost of abilities"
Weapon,Mace,Skysplitter,49,117,,,+8% chance to deal double damage with attacks,0.80%,(-60 to -40)% less energy shield,Hits penetrate 10% of lighting resistance,Abilities gain additional base mana cost equal to 4% of maximum energy,Adds 1-5 local lightning damage per 10 maximum energy shield,,,"***Skysplitter*** (Mace - Req. Level: ***49***; Req. Str ***117***;)
- Innate: +8% chance to deal double damage with attacks
  - (-60 to -40)% less energy shield
  - Hits penetrate 10% of lighting resistance
  - Abilities gain additional base mana cost equal to 4% of maximum energy
  - Adds 1-5 local lightning damage per 10 maximum energy shield","***Skysplitter*** (Mace - Req. Level: ***49***; Req. Str ***117***;)
- Innate: +8% chance to deal double damage with attacks
  - (-60 to -40)% less energy shield
  - Hits penetrate 10% of lighting resistance
  - Abilities gain additional base mana cost equal to 4% of maximum energy
  - Adds 1-5 local lightning damage per 10 maximum energy shield"
Weapon,Mace,Rimefrost,49,117,,,+8% chance to deal double damage with attacks,0.80%,Adds (80 to 120) to (160 to 240) local cold damage,+(8 to 14)% local base critical hit chance,+50% chance to inflict chill,+2% chance to deal double damage with attacks per 1% effect of chill applied to enemies,Enemies are unaffected by chill,,"***Rimefrost*** (Mace - Req. Level: ***49***; Req. Str ***117***;)
- Innate: +8% chance to deal double damage with attacks
  - Adds (80 to 120) to (160 to 240) local cold damage
  - +(8 to 14)% local base critical hit chance
  - +50% chance to inflict chill
  - +2% chance to deal double damage with attacks per 1% effect of chill applied to enemies
  - Enemies are unaffected by chill","***Rimefrost*** (Mace - Req. Level: ***49***; Req. Str ***117***;)
- Innate: +8% chance to deal double damage with attacks
  - Adds (80 to 120) to (160 to 240) local cold damage
  - +(8 to 14)% local base critical hit chance
  - +50% chance to inflict chill
  - +2% chance to deal double damage with attacks per 1% effect of chill applied to enemies
  - Enemies are unaffected by chill"
Weapon,Warhammer,Tested Faith,28,44,,,+12% chance to deal double damage with attacks,1.30%,+50% chance to deal double damage with attacks,"When you would deal double damage, 50% chance to deal triple damage instead","When you would deal triple damage, 50% chance to deal quadruple damage instead",Adds 4 to 6 local fire damage per 10 strength,,,"***Tested Faith*** (Warhammer - Req. Level: ***28***; Req. Str ***44***;)
- Innate: +12% chance to deal double damage with attacks
  - +50% chance to deal double damage with attacks
  - When you would deal double damage, 50% chance to deal triple damage instead
  - When you would deal triple damage, 50% chance to deal quadruple damage instead
  - Adds 4 to 6 local fire damage per 10 strength","***Tested Faith*** (Warhammer - Req. Level: ***28***; Req. Str ***44***;)
- Innate: +12% chance to deal double damage with attacks
  - +50% chance to deal double damage with attacks
  - When you would deal double damage, 50% chance to deal triple damage instead
  - When you would deal triple damage, 50% chance to deal quadruple damage instead
  - Adds 4 to 6 local fire damage per 10 strength"
Weapon,Warhammer,Hemophage,46,102,,,32% increased melee physical damage,3.20%,(10 to 50)% increased life,50% of your dexterity and intelligence is converted to strength,Take physical damage equal to 20% of your maximum life when you attack,Adds 4 to 6 local physical damage per 40 maximum life,,,"***Hemophage*** (Warhammer - Req. Level: ***46***; Req. Str ***102***;)
- Innate: 32% increased melee physical damage
  - (10 to 50)% increased life
  - 50% of your dexterity and intelligence is converted to strength
  - Take physical damage equal to 20% of your maximum life when you attack
  - Adds 4 to 6 local physical damage per 40 maximum life","***Hemophage*** (Warhammer - Req. Level: ***46***; Req. Str ***102***;)
- Innate: 32% increased melee physical damage
  - (10 to 50)% increased life
  - 50% of your dexterity and intelligence is converted to strength
  - Take physical damage equal to 20% of your maximum life when you attack
  - Adds 4 to 6 local physical damage per 40 maximum life"
Weapon,Warhammer,Shimori Ori,56,450,,,32% Increased Melee Physical Damage,3.20%,(500 to 800) increased local physical damage,(-60 to -40)% reduced local attack speed,200% increased attribute requirements,+1% chance to deal double damage with attacks per 10 strength,,,"***Shimori Ori*** (Warhammer - Req. Level: ***56***; Req. Str ***450***;)
- Innate: 32% Increased Melee Physical Damage
  - (500 to 800) increased local physical damage
  - (-60 to -40)% reduced local attack speed
  - 200% increased attribute requirements
  - +1% chance to deal double damage with attacks per 10 strength","***Shimori Ori*** (Warhammer - Req. Level: ***56***; Req. Str ***450***;)
- Innate: 32% Increased Melee Physical Damage
  - (500 to 800) increased local physical damage
  - (-60 to -40)% reduced local attack speed
  - 200% increased attribute requirements
  - +1% chance to deal double damage with attacks per 10 strength"
Weapon,Sword,The Redblade,21,20,20,,6% increased attack speed,0.60%,Gain 8 life on hit,(80 to 120)% more bleed damage,(30 to 50)% increased local attack speed,+50% chance to inflict bleeding with attacks,,,"***The Redblade*** (Sword - Req. Level: ***21***; Req. Str ***20***;Req. Dex ***20***;)
- Innate: 6% increased attack speed
  - Gain 8 life on hit
  - (80 to 120)% more bleed damage
  - (30 to 50)% increased local attack speed
  - +50% chance to inflict bleeding with attacks","***The Redblade*** (Sword - Req. Level: ***21***; Req. Str ***20***;Req. Dex ***20***;)
- Innate: 6% increased attack speed
  - Gain 8 life on hit
  - (80 to 120)% more bleed damage
  - (30 to 50)% increased local attack speed
  - +50% chance to inflict bleeding with attacks"
Weapon,Sword,Honored Vow,39,45,45,,18% increased accuracy rating,1.80%,(30 to 50)% increased defences,+(10 to 30)% to chaos resistance,Adds (24 to 32) to (80 to 120) local lightning damage,+(10 to 20)% chance to block,,,"***Honored Vow*** (Sword - Req. Level: ***39***; Req. Str ***45***;Req. Dex ***45***;)
- Innate: 18% increased accuracy rating
  - (30 to 50)% increased defences
  - +(10 to 30)% to chaos resistance
  - Adds (24 to 32) to (80 to 120) local lightning damage
  - +(10 to 20)% chance to block","***Honored Vow*** (Sword - Req. Level: ***39***; Req. Str ***45***;Req. Dex ***45***;)
- Innate: 18% increased accuracy rating
  - (30 to 50)% increased defences
  - +(10 to 30)% to chaos resistance
  - Adds (24 to 32) to (80 to 120) local lightning damage
  - +(10 to 20)% chance to block"
Weapon,Sword,Shard of Entropy,56,90,90,,12% increased attack speed,1.20%,(120 to 240)% increased local physical damage,(30 to 60)% increased local attack speed,Convert 100% of your physical damage to a random damage type on hit,Attacks have a 100% chance to inflict ailments,,,"***Shard of Entropy*** (Sword - Req. Level: ***56***; Req. Str ***90***;Req. Dex ***90***;)
- Innate: 12% increased attack speed
  - (120 to 240)% increased local physical damage
  - (30 to 60)% increased local attack speed
  - Convert 100% of your physical damage to a random damage type on hit
  - Attacks have a 100% chance to inflict ailments","***Shard of Entropy*** (Sword - Req. Level: ***56***; Req. Str ***90***;Req. Dex ***90***;)
- Innate: 12% increased attack speed
  - (120 to 240)% increased local physical damage
  - (30 to 60)% increased local attack speed
  - Convert 100% of your physical damage to a random damage type on hit
  - Attacks have a 100% chance to inflict ailments"
Weapon,Greatsword,Seversting,46,61,61,,24% increased attack speed,2.40%,(80 to 140)% increased local physical damage,(20 to 40)% increased local attack speed,(600 to 1200) to accuracy rating,Hits ignore 50% of enemy armor,,,"***Seversting*** (Greatsword - Req. Level: ***46***; Req. Str ***61***;Req. Dex ***61***;)
- Innate: 24% increased attack speed
  - (80 to 140)% increased local physical damage
  - (20 to 40)% increased local attack speed
  - (600 to 1200) to accuracy rating
  - Hits ignore 50% of enemy armor","***Seversting*** (Greatsword - Req. Level: ***46***; Req. Str ***61***;Req. Dex ***61***;)
- Innate: 24% increased attack speed
  - (80 to 140)% increased local physical damage
  - (20 to 40)% increased local attack speed
  - (600 to 1200) to accuracy rating
  - Hits ignore 50% of enemy armor"
