Formula: (1 - ((ACC * 1.35) / (ACC + (EVA * 0.1)))) + Flat Final Evasion Chance,,,,,,,,,,,,
,,,,,,,,,,,,
,,Evasion,,,,,,,,Enemy,,
,,100,500,1000,2000,5000,10000,20000,50000,4402,2201,1101
Accuracy,100,0.00%,10.00%,32.50%,55.00%,77.50%,87.73%,90.00%,90.00%,75.01%,57.83%,35.74%
,200,0.00%,0.00%,10.00%,32.50%,61.43%,77.50%,87.73%,90.00%,57.83%,35.73%,12.93%
,500,0.00%,0.00%,0.00%,3.57%,32.50%,55.00%,73.00%,87.73%,28.21%,6.26%,0.00%
,1000,0.00%,0.00%,0.00%,0.00%,10.00%,32.50%,55.00%,77.50%,6.26%,0.00%,0.00%
,2000,0.00%,0.00%,0.00%,0.00%,0.00%,10.00%,32.50%,61.43%,0.00%,0.00%,0.00%
,5000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.57%,32.50%,0.00%,0.00%,0.00%
,10000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.00%,0.00%,0.00%,0.00%
,20000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,50000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Player (base),317,0.00%,0.00%,0.00%,17.22%,47.62%,67.51%,81.53%,90.00%,43.48%,20.32%,0.00%
Enemy,327,0.00%,0.00%,0.00%,16.23%,46.62%,66.73%,81.03%,90.00%,42.46%,19.31%,0.00%
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Notes:,,,,,,,,,,,,
Base player accuracy is 317 at lvl 100,,,,,,,,,,,,
Enemy accuracy is 327 at lvl 100,,,,,,,,,,,,
Enemy evasion is 4402 at lvl 100,,,,,,,,,,,,
Evasion chance cannot be lower than 0 or higher than 90%,,,,,,,,,,,,
